Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R5","10k","R_0805_2012Metric",158.661,-58.4454,90.0,top
"R24","330R","R_0805_2012Metric",129.832,-70.3834,270.0,top
"C22","10uF","C_0805_2012Metric",122.72,-77.8764,90.0,top
"C24","10uF","C_0805_2012Metric",122.72,-74.0664,90.0,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",128.562,-75.9714,180.0,top
"D2","LED_Purple","LED_0805_2012Metric",131.991,-70.3834,270.0,top
"R26","1k","R_0805_2012Metric",144.31,-93.2434,180.0,top
"R2","33k","R_0805_2012Metric",148.501,-79.4004,180.0,top
"R9","33k","R_0805_2012Metric",148.374,-69.3674,180.0,top
"R19","0R","R_0805_2012Metric",135.928,-96.2914,270.0,top
"R22","0R","R_0805_2012Metric",141.643,-96.2914,270.0,top
"R20","0R","R_0805_2012Metric",137.833,-96.2914,270.0,top
"SW2","SW_Push","SW_SPST_CK_KXT3",118.021,-53.8734,0.0,top
"U1","24LC02","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",164.503,-52.4884,180.0,top
"R14","10k","R_0805_2012Metric",135.039,-68.2244,0.0,top
"R3","33k","R_0805_2012Metric",148.374,-76.9874,180.0,top
"R1","33k","R_0805_2012Metric",148.501,-81.9404,180.0,top
"R4","10k","R_0805_2012Metric",156.502,-58.4219,90.0,top
"U5","STM32F103RBTx","LQFP-64_10x10mm_P0.5mm",137.833,-86.7664,270.0,top
"R8","33k","R_0805_2012Metric",148.374,-71.7804,180.0,top
"R11","33k","R_0805_2012Metric",126.403,-99.9744,0.0,top
"R15","1k","R_0805_2012Metric",135.039,-64.0334,0.0,top
"R21","0R","R_0805_2012Metric",139.738,-96.2914,270.0,top
"R13","10k","R_0805_2012Metric",135.293,-76.2254,0.0,top
"R6","10k","R_0805_2012Metric",160.82,-58.4689,90.0,top
"R7","33k","R_0805_2012Metric",148.351,-74.3204,180.0,top
"R16","330R","R_0805_2012Metric",135.039,-66.1289,0.0,top
"R17","0R","R_0805_2012Metric",132.118,-96.2914,270.0,top
"R18","0R","R_0805_2012Metric",134.023,-96.2914,270.0,top
"R10","33k","R_0805_2012Metric",148.374,-66.7004,180.0,top
"R12","10k","R_0805_2012Metric",135.293,-78.3844,0.0,top
"R23","0R","R_0805_2012Metric",143.929,-96.2914,270.0,top
"R25","330R","R_0805_2012Metric",129.705,-59.2074,270.0,top
"SW1","SW_DIP_x08","SW_DIP_SPSTx08_Slide_9.78x22.5mm_W8.61mm_P2.54mm",156.756,-73.0504,180.0,top
"SW3","SW_Push","SW_SPST_CK_KXT3",118.021,-51.0794,0.0,top
"Y1","Crystal 8M","Crystal_SMD_HC49-SD",127.292,-87.7824,270.0,top
"C5","0.1uF","C_0805_2012Metric",153.454,-101.752,0.0,top
"C13","0.1uF","C_0805_2012Metric",154.174,-105.308,90.0,top
